Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,KRAS Signaling Up,-0.16083280155341478,-0.6666832793997033,1.0,1.0,1.0,65/189,35.71%,CSF2RA;ALDH1A3;CAB39L;PTCD2;PPBP;CFH;PEG3;KCNN4;GADD45G;ARG1;FUCA1;MPZL2;SNAP91;HDAC9;MYCN;PLEK2;ID2;RGS16;MAP4K1;EVI5;CD37;ANO1;WDR33;TPH1;PSMB8;NAP1L2;ST6GAL1;ITGA2;SDCCAG8;APOD;FLT4;SATB1;HBEGF;TMEM176A;CPE;SPRY2;USH1C;MAP3K1;RBP4;KLF4;TOR1AIP2;MMP11;CMKLR1;TRIB2;IL33;NRP1;MTMR10;TSPAN7;HKDC1;NIN;MMD;GNG11;IKZF1;FBXO4;SPON1;PTPRR;SLPI;CCL20;MMP9;USP12;CA2;KIF5C;ALDH1A2;F2RL1;PCSK1N
prerank,PI3K/AKT/mTOR  Signaling,-0.16542809655197674,-0.6363229891843304,0.9945848375451264,1.0,1.0,19/99,26.97%,CSNK2B;CAB39L;GNGT1;CDK1;LCK;TIAM1;ECSIT;PIN1;PRKAA2;CAMK4;PAK4;PIKFYVE;MAP2K6;ACTR3;DAPP1;E2F1;GSK3B;IRAK4;ATF1
prerank,E2F Targets,0.142089080347084,0.607512513012794,1.0,1.0,1.0,68/199,33.89%,CDC25A;DSCC1;WDR90;NASP;SNRPB;ESPL1;RFC3;AURKA;CDKN2A;SSRP1;PRPS1;CCNE1;POLA2;KIF22;MRE11;TRIP13;E2F8;UNG;TCF19;PRDX4;ASF1A;BUB1B;PPP1R8;CTPS1;NAA38;PLK4;CHEK1;USP1;KIF18B;POLE;MCM2;SMC3;ING3;BRCA2;CCNB2;LIG1;CCP110;RPA2;TACC3;RRM2;POLD2;PSIP1;POLE4;KIF4A;RAD51AP1;POLD3;RACGAP1;CKS2;EIF2S1;EZH2;IPO7;LYAR;RFC2;CDCA8;SPC25;HMGB3;LMNB1;CTCF;DLGAP5;PRIM2;UBR7;SMC1A;PDS5B;PCNA;RAN;TUBG1;MYC;POP7
prerank,Fatty Acid Metabolism,-0.1507240773053126,-0.6035868652343976,1.0,1.0,1.0,33/145,26.80%,ALDH3A1;AADAT;BMPR1B;NTHL1;EHHADH;ACADL;ADSL;BLVRA;ACOT2;FABP2;HSD17B10;NCAPH2;ECI1;SUCLG1;SUCLA2;MCEE;BPHL;ACADVL;ACADS;H2AZ1;CA4;BCKDHB;ALDH9A1;ETFDH;TDO2;ACAT2;PRDX6;CPOX;ENO2;UGDH;METAP1;MDH2;SDHA
prerank,Cholesterol Homeostasis,-0.21117601377350487,-0.764847754642037,0.9077757685352622,1.0,1.0,24/74,31.92%,GLDC;TNFRSF12A;GSTM2;CLU;AVPR1A;ADH4;PMVK;FBXO6;GPX8;PCYT2;SC5D;TMEM97;ACAT2;FABP5;LDLR;PNRC1;GNAI1;GUSB;S100A11;PLSCR1;STX5;CD9;MVD;DHCR7
prerank,Allograft Rejection,-0.14323247049465346,-0.5976161948758252,1.0,1.0,1.0,48/189,29.11%,CD8B;PRF1;ZAP70;CD96;ICOSLG;SIT1;NOS2;APBB1;LY86;CXCR3;CCL19;CXCL13;LCK;CD40LG;TAP2;HDAC9;IL12RB1;EIF5A;NCF4;PTPN6;SOCS1;CD80;SOCS5;HLA-DMB;IFNAR2;MAP4K1;NLRP3;HLA-DOB;IRF4;CD2;ACVR2A;IL6;BCL10;ACHE;RPS9;TPD52;CD47;TNF;IFNGR2;BRCA1;CD3G;C2;EIF3J;STAB1;KLRD1;NCK1;IGSF6;IL27RA
prerank,IL-2/STAT5 Signaling,-0.13802666515149925,-0.5757402823886241,1.0,1.0,1.0,49/188,29.89%,EOMES;BATF;IL3RA;TNFSF11;TNFRSF8;ITGAE;CDKN1C;IKZF4;TIAM1;TNFRSF18;SH3BGRL2;CST7;SNX14;SLC29A2;P2RX4;ITIH5;TWSG1;SWAP70;SOCS1;RGS16;SHE;SPRED2;SLC1A5;SYT11;IRF4;ARL4A;PTCH1;PLAGL1;FGL2;TGM2;UMPS;ECM1;RRAGD;P4HA1;PHTF2;POU2F1;LCLAT1;APLP1;FAH;ENPP1;LRRC8C;BCL2;AHR;PLSCR1;CISH;TNFRSF4;HOPX;CKAP4;SMPDL3A
prerank,Adipogenesis,0.12694301805068478,0.5406341288990811,1.0,1.0,1.0,32/196,22.65%,FABP4;UQCR10;ORM1;SNCG;RETN;CYC1;REEP6;PHYH;OMD;SORBS1;GADD45A;IDH3A;GPAM;FZD4;QDPR;CHUK;LPL;GBE1;RMDN3;ELMOD3;COQ9;UQCRC1;GRPEL1;SOD1;LEP;VEGFB;SLC25A10;ETFB;DHRS7B;DBT;NDUFAB1;CAVIN1
prerank,mTORC1 Signaling,0.1314656568804367,0.5633098809931076,1.0,1.0,1.0,62/198,36.47%,MLLT11;CDC25A;PHGDH;TRIB3;EBP;PSMG1;AURKA;COPS5;UCHL5;CTH;QDPR;UNG;GBE1;VLDLR;PSMD12;PSMC4;GOT1;G6PD;CFP;PSMD13;WARS1;GLRX;DDIT3;CACYBP;MCM2;ABCF2;M6PR;IDH1;PSMD14;USO1;RRM2;TOMM40;SLA;STC1;CYP51A1;PSMB5;PPA1;LTA4H;HMBS;GSR;TBK1;ADD3;SQLE;NIBAN1;HSPA9;IGFBP5;TUBG1;PIK3R3;HK2;PPIA;NFIL3;ADIPOR2;TXNRD1;ETF1;INSIG1;CANX;PRDX1;MAP2K3;YKT6;SEC11A;PSMC6;NUPR1
prerank,Coagulation,-0.13774047203669218,-0.5326246214818342,1.0,1.0,1.0,29/114,31.00%,TF;CFD;PEF1;RAPGEF3;CLU;F10;CFH;APOC1;F12;CTSO;MASP2;SERPING1;CRIP2;GP1BA;PROS1;ITGA2;GNG12;THBD;C2;PROC;USP11;C1QA;TIMP3;OLR1;CTSE;MMP11;GDA;ANG;CD9
prerank,G2-M Checkpoint,0.1211581113260866,0.5245794735947539,1.0,1.0,1.0,59/195,33.61%,DTYMK;CDC25A;NASP;ESPL1;AURKA;CCNA2;NDC80;POLA2;KIF22;FBXO5;SAP30;UCK2;INCENP;EXO1;TOP1;UPF1;CHAF1A;ATF5;PLK4;DMD;CHEK1;POLE;MCM2;CHMP1A;MNAT1;BRCA2;CCNB2;PBK;SNRPD1;STIL;RPA2;TACC3;EGF;RASAL2;KIF4A;RACGAP1;CKS2;EZH2;MT2A;SLC7A1;NEK2;PML;E2F3;MAP3K20;CUL3;SS18;HMGB3;CCND1;LMNB1;CTCF;PRIM2;MEIS2;SQLE;PAFAH1B1;SMC1A;PDS5B;KPNB1;RAD23B;MYC
prerank,Hedgehog Signaling,-0.1662896552729247,-0.518732297426256,1.0,1.0,1.0,10/34,35.53%,L1CAM;CDK5R1;CNTFR;PTCH1;ACHE;RASA1;NRP1;SHH;VEGFA;TLE3
prerank,Unfolded Protein Response,0.13507079010233441,0.5354385662945926,1.0,1.0,1.0,35/111,34.99%,TSPYL2;EXOSC4;EXOSC5;WFS1;LSM1;PDIA5;SLC30A5;POP4;DCTN1;TATDN2;EXOSC2;DDX10;TUBB2A;DNAJA4;KHSRP;NPM1;EXOSC9;MTREX;SDAD1;EIF4A3;CXXC1;EIF2S1;EDC4;FUS;YIF1A;SEC31A;EIF4A2;EXOC2;HSPA9;DCP2;CNOT2;SRPRA;GEMIN4;ALDH18A1;PARN
prerank,Hypoxia,-0.12742351200123303,-0.5181966403357924,1.0,1.0,1.0,40/186,28.68%,STBD1;VHL;ADORA2B;PPFIA4;PHKG1;CDKN1C;NOCT;DPYSL4;SRPX;GAA;STC2;MT1E;SCARB1;ALDOB;PKP1;AK4;LOX;SLC2A5;PCK1;GCNT2;CCNG2;SDC4;TGM2;IL6;CSRP2;DTNA;PFKL;PNRC1;TPD52;CHST2;RRAGD;P4HA1;ENO2;PFKP;KIF5A;PPP1R3C;CAV1;BCL2;CCN2;MAP3K1
prerank,Mitotic Spindle,0.11969948899453747,0.514486119030217,1.0,1.0,1.0,64/196,35.63%,CNTROB;ESPL1;HDAC6;AURKA;SAC3D1;SHROOM1;NDC80;ARHGAP4;KIF22;FBXO5;PIF1;INCENP;TSC1;SYNPO;KATNB1;RAPGEF6;SORBS2;PCNT;CCDC88A;SOS1;APC;TUBGCP3;SMC3;CDC42;MAP1S;FGD6;BRCA2;CCNB2;RASAL2;CEP192;DOCK2;KIF4A;ARFGEF1;RACGAP1;TLK1;ANLN;BCAR1;NEK2;ARHGEF3;PCGF5;RABGAP1;LLGL1;ABI1;MYO1E;LMNB1;DLGAP5;SPTAN1;CAPZB;LRPPRC;PAFAH1B1;PREX1;SMC1A;NEDD9;ECT2;ROCK1;TPX2;TUBD1;GEMIN4;NUMA1;ITSN1;KNTC1;ALMS1;MYH10;OPHN1
prerank,Epithelial Mesenchymal Transition,-0.11838118212776032,-0.4925970928406837,1.0,1.0,1.0,44/197,30.69%,MEST;TNFRSF12A;SFRP1;VEGFC;TGFBR3;LRRC15;IGFBP2;ECM2;MSX1;FUCA1;COL8A2;CAP2;SFRP4;MFAP5;ID2;NTM;FZD8;ITGA2;LOX;PRSS2;SDC4;TGM2;IL6;FBLN2;ECM1;AREG;WNT5A;ENO2;GAS1;SPOCK1;APLP1;GLIPR1;LAMA1;SGCD;TIMP3;MYL9;CCN2;MGP;CXCL8;TNFRSF11B;FSTL3;FMOD;PMP22;SLIT3
prerank,Wnt-beta Catenin Signaling,0.15369120970996544,0.4981256062717182,0.9955849889624724,1.0,1.0,13/40,28.11%,WNT5B;FZD1;CSNK1E;HDAC5;HDAC11;PPARD;DLL1;DKK1;NCOR2;NOTCH4;JAG1;NKD1;HEY1
prerank,Inflammatory Response,-0.11788730876348327,-0.49013301831723805,1.0,1.0,1.0,43/195,29.37%,EBI3;ICOSLG;SLC7A2;KCNMB2;P2RX7;ADORA2B;CX3CL1;LCK;TNFSF9;GPR183;LTA;ACVR1B;LAMP3;SPHK1;CSF3;KCNA3;BDKRB1;P2RX4;HAS2;VIP;SLC1A2;SCARF1;RGS16;NLRP3;GP1BA;BEST1;ACVR2A;TNFAIP6;IL6;LY6E;HBEGF;LDLR;CHST2;CCRL2;IFNGR2;SLC31A2;OSMR;PROK2;STAB1;AHR;GPR132;CXCL8;OLR1
prerank,Myc Targets V2,-0.12605886896658616,-0.4372650529351643,1.0,1.0,1.0,8/57,19.56%,NOP16;HSPE1;AIMP2;SLC29A2;BYSL;NIP7;PLK1;MAP3K6
prerank,Reactive Oxygen Species Pathway,-0.12685894185122218,-0.41273734008016694,1.0,1.0,1.0,14/48,30.81%,CDKN2D;HHEX;NDUFB4;EGLN2;HMOX2;NDUFA6;PRDX6;GCLC;GCLM;PFKP;OXSR1;CAT;SBNO2;PTPA
prerank,TNF-alpha Signaling via NF-kB,-0.0969053759174767,-0.39912723849091536,1.0,1.0,1.0,199/199,90.41%,FJX1;ICOSLG;IL23A;SLC2A6;TNFSF9;TNIP2;GPR183;SPHK1;HES1;SERPINB8;TGIF1;CD80;ID2;BTG3;CEBPB;ZBTB10;TNFAIP6;SDC4;IL6;HBEGF;STAT5A;LDLR;PNRC1;AREG;TNF;CCRL2;IFNGR2;NFKBIE;EHD1;TSC22D1;FOSL1;KLF4;OLR1;SOCS3;EGR2;EIF1;RHOB;KLF6;DUSP1;NR4A2;CCL20;KDM6B;IRS2;VEGFA;F2RL1;RELB;PDLIM5;EGR3;PTPRE;ABCA1;GCH1;TNIP1;PTGS2;SLC16A6;RIPK2;CCL4;CCNL1;KLF9;CD69;DUSP5;BCL3;NFAT5;CXCL1;EGR1;PMEPA1;CFLAR;PTX3;BIRC3;CSF1;CEBPD;G0S2;CXCL3;DNAJB4;TAP1;ICAM1;SMAD3;IER3;CCL2;BTG1;SOD2;FOS;PHLDA2;NFKB2;TNFAIP2;PLAU;BCL6;CXCL6;PLK2;PFKFB3;IL6ST;PHLDA1;TRAF1;TIPARP;PLPP3;CDKN1A;DRAM1;MCL1;TNFAIP3;EFNA1;FUT4;DENND5A;CCN1;MARCKS;ATP2B1;CXCL2;NINJ1;ETS2;CLCF1;RCAN1;NFKBIA;SAT1;CXCL10;SLC2A3;PLAUR;SGK1;ATF3;GADD45B;LITAF;FOSL2;IL1A;NR4A3;MAP3K8;MAFF;IL1B;BTG2;SQSTM1;MXD1;PPP1R15A;CD44;KLF10;BCL2A1;IER2;TRIB1;TANK;BIRC2;SERPINE1;KLF2;NFKB1;NAMPT;PDE4B;ZFP36;B4GALT1;TNC;BHLHE40;ZC3H12A;JUNB;B4GALT5;LAMB3;F3;BMP2;PLEK;INHBA;MAP2K3;TLR2;IRF1;NFIL3;MYC;NFE2L2;CXCL11;JUN;KYNU;CCND1;SIK1;IL7R;RNF19B;JAG1;MSC;SNN;YRDC;IER5;PANX1;PTGER4;EDN1;SPSB1;DUSP4;TRIP10;TUBB2A;CD83;NR4A1;IFIT2;DUSP2;IL18;GFPT2;LIF;ACKR3;RELA;TNFAIP8;FOSB;REL;SERPINB2;IL15RA;PER1;IFIH1;IL12B;CSF2;TNFRSF9;CCL5;GADD45A;GEM
prerank,TGF-beta Signaling,-0.10901969440942608,-0.36711853538501177,1.0,1.0,1.0,51/52,82.24%,CDKN1C;SMAD6;TGIF1;ID2;WWTR1;ID3;IFNGR2;SMURF2;CDK9;FURIN;HDAC1;TGFB1;CDH1;SMAD1;PMEPA1;RHOA;BMPR1A;SMAD3;ENG;THBS1;TRIM33;UBE2D3;SKIL;SPTBN1;RAB31;TGFBR1;BMPR2;FKBP1A;HIPK2;MAP3K7;PPP1R15A;KLF10;PPM1A;XIAP;SERPINE1;CTNNB1;JUNB;PPP1CA;BMP2;SMURF1;ACVR1;LTBP2;BCAR3;TJP1;SKI;NCOR2;ID1;SLC20A1;APC;ARID4B;SMAD7
prerank,Myc Targets V1,-0.08567829546248223,-0.35891178204045376,1.0,1.0,1.0,32/199,27.71%,NOP16;IMPDH2;PSMA6;PCBP1;CDC45;HSPE1;RPS10;AIMP2;HDDC2;EIF4A1;LSM7;H2AZ1;VBP1;EXOSC7;NCBP2;SRSF7;SNRPD2;DUT;HDAC2;SYNCRIP;PSMA2;PTGES3;PSMB3;SNRPB2;SNRPD3;PSMA7;PRDX3;CLNS1A;RPS3;RUVBL2;MRPL9;EIF3J
